"ID","REMARK","EXPIREDATE","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT","SEQNO","TBLFIELDS_ID","GRP"
88,,2099/12/31,0,,2014/01/03 15:36:31,2014/01/03 15:36:31,1,2053,"1"
101,,2099/12/31,0,,2014/01/05 1:22:57.394,2014/01/05 1:22:57.394,1,2548,"1"
103,,2099/12/31,0,,2014/01/05 1:24:58.981,2014/01/05 1:24:58.981,2,2550,"1"
104,,2099/12/31,0,,2014/01/05 1:48:48.129,2014/01/05 1:48:48.129,1,3628,"1"
121,,2099/12/31,0,,2014/01/05 9:34:34.363,2014/01/12 12:53:14.205,2,3674,"1"
161,,2099/12/31,0,,2014/01/11 16:44:12.327,2014/01/11 16:44:12.327,1,2703,"1"
162,,2099/12/31,0,,2014/01/11 16:44:41.566,2014/01/11 16:44:41.566,2,2735,"1"
182,,2099/12/31,0,,2014/01/12 11:20:35.920,2014/01/12 11:20:35.920,2,3672,"2"
183,,2099/12/31,0,,2014/01/12 13:08:23.802,2014/01/12 13:08:23.802,0,3629,"1"
241,,2099/12/31,0,,2014/02/09 16:31:57.380,2014/02/09 16:31:57.380,1,4001,"1"
281,,2099/12/31,0,,2014/06/22 11:11:24.895,2014/06/22 11:11:24.895,1,3230,"1"
301,,2099/12/31,0,,2014/07/12 12:44:10.154,2014/07/12 12:44:10.154,10,6263,"1"
302,,2099/12/31,0,,2014/07/12 12:44:45.300,2014/07/12 12:44:45.300,20,6264,"1"
321,,2099/12/31,0,,2014/07/12 18:15:33.573,2014/07/12 18:15:33.573,10,5031,"1"
322,,2099/12/31,0,"127.0.0.1",2014/07/12 18:16:04.734,2016/03/09 0:18:25,25,5029,"1"
323,,2099/12/31,0,"127.0.0.1",2014/07/12 18:16:31.362,2014/07/29 21:17:49.247,20,5028,"1"
361,,2099/12/31,0,"127.0.0.1",2014/08/10 17:37:39.332,2014/08/10 17:37:39.332,10,6333,"10"
362,,2099/12/31,0,"127.0.0.1",2014/08/10 17:38:15.502,2014/08/10 17:38:15.502,20,6334,"10"
381,,2099/12/31,0,"127.0.0.1",2014/08/15 17:54:53.009,2014/08/15 17:54:53.009,10,6500,"10"
382,,2099/12/31,0,"127.0.0.1",2014/08/15 17:56:54.766,2014/08/15 17:56:54.766,20,6561,"10"
421,,2099/12/31,0,"127.0.0.1",2014/08/20 3:00:08.446,2014/08/20 3:00:08.446,30,6971,"1"
441,,2099/12/31,0,"127.0.0.1",2014/08/20 23:26:44.750,2014/08/20 23:26:44.750,40,6275,"1"
481,,2099/12/31,0,"127.0.0.1",2014/09/23 16:00:36.851,2014/09/23 16:00:36.851,10,7562,"G1"
501,,2099/12/31,0,"127.0.0.1",2014/09/23 16:05:04.457,2014/09/23 16:05:04.457,20,7563,"G1"
541,,2099/12/31,0,"127.0.0.1",2014/10/01 22:39:49.135,2014/10/01 22:39:49.135,30,7661,"G1"
602,,2099/12/31,0,"127.0.0.1",2014/12/31 16:55:50.841,2014/12/31 16:55:50.841,2,7049,"1"
641,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/22 10:47:02.405,2015/03/22 10:47:02.405,1,10225,"sno"
661,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/25 22:17:05.875,2015/03/25 22:17:05.875,1,10287,"sno"
701,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/04/05 12:13:01.876,2015/04/05 12:13:01.876,1,10486,"sno"
741,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/06/01 19:50:26.410,2015/06/01 19:50:26.410,1,10940,"sno"
761,,2099/12/31,0,"127.0.0.1",2015/09/12 9:57:03,2015/09/12 9:57:03,1,11660,"1"
781,,2099/12/31,0,"127.0.0.1",2015/10/23 21:57:28,2015/10/23 21:57:28,1,12160,"1"
782,,2099/12/31,0,"127.0.0.1",2015/10/23 21:58:00,2015/10/23 21:58:00,1,12160,"2"
801,,2099/12/31,0,"127.0.0.1",2015/11/14 20:43:05,2015/11/14 20:43:05,10,11907,"10"
830,"1",2099/12/31,0,,2015/11/23 12:02:20,2015/11/23 12:02:20,1,341,"sno"
861,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2015/12/14 20:57:08,2015/12/14 20:57:08,1,542,"sno"
881,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2015/12/23 18:43:34,2015/12/23 18:43:34,1,594,"sno"
901,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2015/12/26 11:55:05,2015/12/26 11:55:05,1,618,"sno"
921,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/10 19:53:33,2016/01/10 19:53:33,1,656,"sno"
922,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/10 22:38:46,2016/01/10 22:38:46,1,707,"sno"
941,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/11 10:11:19,2016/01/11 10:11:19,1,757,"sno"
942,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/11 10:32:18,2016/01/11 10:32:18,1,819,"sno"
943,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/11 11:09:16,2016/01/11 11:09:16,1,864,"sno"
961,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/01/20 21:38:16,2016/01/20 21:38:16,1,938,"sno"
981,,2099/12/31,0,"127.0.0.1",2016/01/31 13:33:33,2016/01/31 13:33:33,1,4914,"10"
1021,,2099/12/31,0,"127.0.0.1",2016/03/27 17:30:48,2016/03/27 17:30:48,10,5588,"1"
1022,,2099/12/31,0,"127.0.0.1",2016/03/27 17:31:19,2016/03/27 17:31:19,20,424,"1"
1023,,2099/12/31,0,"127.0.0.1",2016/03/27 17:31:51,2016/03/27 17:32:32,30,422,"1"
1024,,2099/12/31,0,"127.0.0.1",2016/03/27 17:33:34,2016/03/27 17:33:34,5,5587,"1"
1074,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/21 6:47:11,2016/05/21 6:47:11,1,1576,"sno"
1075,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/21 7:13:21,2016/05/21 7:13:21,1,1595,"sno"
1076,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/21 7:13:22,2016/05/21 7:13:22,1,1614,"sno"
1077,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/21 7:13:23,2016/05/21 7:13:23,1,1633,"sno"
1081,,2099/12/31,0,"127.0.0.1",2016/05/26 22:05:23,2016/05/26 22:05:23,10,5031,"2"
1082,,2099/12/31,0,"127.0.0.1",2016/05/26 22:05:36,2016/05/26 22:05:36,20,5028,"2"
1083,,2099/12/31,0,"127.0.0.1",2016/05/26 22:05:56,2016/05/26 22:05:56,25,5030,"2"
1084,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/27 22:15:45,2016/05/27 22:15:45,1,1679,"sno"
1085,,2099/12/31,0,"127.0.0.1",2016/05/27 22:23:08,2016/05/27 22:23:08,10,5518,"1"
1101,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/05/29 10:48:36,2016/05/29 10:48:36,1,1764,"sno"
1125,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/07/31 12:11:37,2016/07/31 12:11:37,1,2218,"sno"
1126,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/07/31 12:11:39,2016/07/31 12:11:39,1,2246,"sno"
1127,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/07/31 12:11:40,2016/07/31 12:11:40,1,2274,"sno"
1128,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2016/07/31 12:11:41,2016/07/31 12:11:41,1,2301,"sno"
1141,,2099/12/31,0,"127.0.0.1",2016/12/28 14:32:05,2016/12/28 14:32:05,10,6384,"10"
1161,,2099/12/31,0,"127.0.0.1",2017/05/27 16:28:51,2017/05/27 16:28:51,10,2278,"shp"
1162,,2099/12/31,0,"127.0.0.1",2017/05/27 16:29:08,2017/05/27 16:29:08,20,2279,"shp"
1163,,2099/12/31,0,"127.0.0.1",2017/05/27 16:29:50,2017/05/27 16:29:50,30,2271,"shp"
1164,,2099/12/31,0,"127.0.0.1",2017/05/27 16:30:38,2017/05/27 16:30:38,40,15049,"shp"
1165,,2099/12/31,0,"127.0.0.1",2017/05/27 16:30:54,2017/05/27 16:30:54,50,2454,"shp"
1181,,2099/12/31,0,"127.0.0.1",2017/05/27 19:26:56,2017/05/27 19:26:56,10,12220,"key1"
1182,,2099/12/31,0,"127.0.0.1",2017/05/27 19:27:16,2017/05/27 19:27:16,20,6580,"key1"
1201,,2099/12/31,0,"127.0.0.1",2017/07/02 20:25:44,2017/07/02 20:25:44,30,4027,"key1"
1221,,2099/12/31,0,"127.0.0.1",2017/07/17 14:56:40,2017/07/17 14:56:40,10,8561,"10"
1222,,2099/12/31,0,"127.0.0.1",2017/07/17 14:57:26,2017/07/17 14:57:26,20,8562,"10"
1223,,2099/12/31,0,"127.0.0.1",2017/07/17 14:58:49,2017/07/17 14:58:49,10,8563,"20"
1224,,2099/12/31,0,"127.0.0.1",2017/07/17 14:59:08,2017/07/17 14:59:08,20,8564,"20"
1225,,2099/12/31,0,"127.0.0.1",2017/07/17 15:01:00,2017/07/17 15:01:00,10,11104,"30"
1226,,2099/12/31,0,"127.0.0.1",2017/07/17 15:01:33,2017/07/17 15:07:50,20,8574,"30"
1227,,2099/12/31,0,"127.0.0.1",2017/07/17 15:05:00,2017/07/17 15:05:00,10,11104,"40"
1228,,2099/12/31,0,"127.0.0.1",2017/07/17 15:05:21,2017/07/17 15:05:21,20,2602,"40"
1229,,2099/12/31,0,"127.0.0.1",2017/07/17 15:08:21,2017/07/17 15:08:21,30,8563,"30"
1230,,2099/12/31,0,"127.0.0.1",2017/07/17 15:08:40,2017/07/17 15:08:40,30,8563,"40"
1231,,2099/12/31,0,"127.0.0.1",2017/07/17 15:12:28,2017/07/17 15:12:28,100,8560,"10"
1232,,2099/12/31,0,"127.0.0.1",2017/07/17 15:12:43,2017/07/17 15:12:43,100,8560,"20"
1233,,2099/12/31,0,"127.0.0.1",2017/07/17 15:13:06,2017/07/17 15:13:06,100,8560,"30"
1234,,2099/12/31,0,"127.0.0.1",2017/07/17 15:13:38,2017/07/17 15:13:38,100,8560,"40"
1241,,2099/12/31,0,"127.0.0.1",2017/08/07 16:21:40,2017/08/07 16:21:40,10,9069,"10"
1242,,2099/12/31,0,"127.0.0.1",2017/08/07 16:21:57,2017/08/07 16:21:57,20,9074,"10"
1243,,2099/12/31,0,"127.0.0.1",2017/08/07 16:22:50,2017/08/07 16:23:15,10,9069,"20"
1244,,2099/12/31,0,"127.0.0.1",2017/08/07 16:23:03,2017/08/07 16:23:21,20,9075,"20"
1261,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/11 18:45:14,2017/08/11 18:45:14,1,15176,"sno"
1281,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:00:06,2017/08/18 9:00:06,1,15193,"sno"
1282,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:00:24,2017/08/18 9:00:24,1,15194,"sno"
1283,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:00:58,2017/08/18 9:00:58,1,15195,"sno"
1284,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:01:15,2017/08/18 9:01:15,1,15196,"sno"
1285,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:01:35,2017/08/18 9:01:35,1,15197,"sno"
1286,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:01:45,2017/08/18 9:01:45,1,15198,"sno"
1287,"proc_tblink_r_tblfields_blkukys_after10  で作成",2099/12/31,0,,2017/08/18 9:01:58,2017/08/18 9:01:58,1,15199,"sno"
10165,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/21 15:43:17.812,2015/03/21 15:43:17.812,1,10108,"sno"
10166,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/21 15:43:18.556,2015/03/21 15:43:18.556,1,10126,"sno"
10167,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/21 15:43:19.008,2015/03/21 15:43:19.008,1,10144,"sno"
10168,"proc_tblink_r_blktbsfieldcodes_blkukys_after10  で作成",2099/12/31,0,,2015/03/21 15:43:19.415,2015/03/21 15:43:19.415,1,10158,"sno"
