ID,STRSELECT,STRWHERE,STRGROUPORDER,YMLCODE,CDRFLAYOUT,EXPIREDATE,REMARK,PERSONS_ID_UPD,UPDATE_IP,CREATED_AT,UPDATED_AT,POBJECTS_ID_SCR,POBJECTS_ID_VIEW,pobjects_id_sgrp,SEQNO,ROWS_PER_PAGE,ROWLIST,HEIGHT,FORM_PS,SCRLVS_ID,CONTENTS,STRORDER
5,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28,2015/07/26,284,1344,17515,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
6,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:59,1865,304,17515,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
7,,,,,,2000/01/01,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/09/21 14:53:12,1869,309,17489,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
8,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2016/07/03 17:01:29,289,1346,17497,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
9,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2016/07/03 17:01:22,8342,1347,17497,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,gantttrn_custordsの画面項目が無いときは、画面項目の属性はr_custordsを利用,
10,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:57,1875,314,17489,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
11,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,1856,296,17490,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
12,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,1857,297,17490,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
17,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,1868,308,17493,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
18,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:57,1873,312,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
19,,,"order by itm_code,opeitm_priority,opeitm_processseq",,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2017/08/09 23:04:30,293,1349,17493,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,," itm_code,opeitm_processseq,opeitm_priority"
20,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,292,1348,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
21,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:59,1863,303,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
22,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2016/10/29 17:09:22,1872,311,17520,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,名称の変更はrailsの再起動で有効,
25,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,1862,302,17502,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
26,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:59,1001,1350,17514,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
27,,,order by screenfield_seqno,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2017/08/09 21:09:07,1850,1229,17515,0,50,"50,250,100,010,000",300,"top:100,left:50,width:1200,height:800,dataheight:700",0,,screenfield_seqno
28,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:59,1871,310,17515,0,10,"10,100",100,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
29,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,1859,299,17505,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
30,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/10/03 10:26:59,1867,306,17505,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
31,,shpsch_qty !=0,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/11/03 0:37:47,1855,295,17505,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
33,,,"order by loca_code,itm_code,stkhist_strdate",,,2000/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2017/08/09 21:07:37,1858,298,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,," loca_code,itm_code,stkhist_strdate"
34,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:20,2016/05/10 21:39:38,1861,301,17489,0,50,"502,501,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
35,,,,,,2099/12/31,auto,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:58,285,1345,17489,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
36,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/28 21:07:00,2015/07/26 9:36:57,1866,305,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
41,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/06/29 16:41:00,2015/07/26 9:36:58,1864,1319,17490,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
61,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/07/04 19:26:00,2015/07/26 9:36:59,1870,1361,17516,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
101,,,order by pobject_code_tbl,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/07/10 23:00:00,2017/08/09 21:07:47,1851,1781,17516,0,50,"50,250,100,010,000",100,"top:100,left:50,width:1200,height:600,dataheight:500",0,,pobject_code_tbl
164,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2013/07/24 20:57:00,2015/07/26 9:36:58,2640,2639,17493,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
242,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/09/14 12:59:00,2015/07/26 9:36:59,3479,3478,17515,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
261,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2013/10/27 21:25:00,2015/07/26 9:36:58,8341,308,17493,0,50,"50,250,100,010,000",200,"top:100,left:100,width:1200,height:600,dataheight:500",0,,
281,,,"order by pobject_code_tbl,blkuky_grp,blkuky_seqno",undefined,,2099/12/31,undefined,0,127.0.0.1,2013/11/30 1:40:00,2017/08/09 21:08:11,4002,4077,17516,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,"pobject_code_tbl,blkuky_grp,blkuky_seqno"
307,,,"order by pobject_code_tbl,tblfield_seqno",undefined,,2099/12/31,undefined,0,127.0.0.1,2013/12/22 14:27:19,2017/08/09 21:08:26,4466,4465,17516,0,50,"50,250,100,010,000",500,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,," pobject_code_tbl,tblfield_seqno"
381,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/04/13 8:29:00,2015/07/26 9:36:59,5424,5422,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,pobjectからscreenのみ選択　screen画面,
382,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/04/13 9:07:00,2015/07/26 9:36:59,5423,5421,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,pobjectからviewのみ選択 screen画面,
421,,,,,,2015/04/30,undefined,0,127.0.0.1,2014/06/14 21:04:00,2015/07/26 9:36:58,5641,5642,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
441,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/06/14 22:33:00,2015/07/26 9:36:59,5702,5701,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
461,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/06/15 2:53:00,2016/12/04 17:24:41,5721,5722,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
481,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/06/16 20:19:00,2015/07/26 9:36:59,5742,5741,17519,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
501,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/06/21 17:53:00,2016/07/03 16:59:57,5902,5903,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
521,,,,,,2099/12/31,,0,127.0.0.1,2014/06/22 10:57:00,2015/07/26 9:36:58,5965,5966,17490,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
541,,,,,,2099/12/31,,0,127.0.0.1,2014/06/28 23:31:00,2015/07/26 9:36:58,6228,6227,17492,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
561,,,,,,2099/12/31,,0,127.0.0.1,2014/06/29 19:17:00,2015/07/26 9:36:58,6044,6043,17492,0,50,"50,250,110,010,000",200,"top:100,left:100,width:1200,height:600,dataheight:500",0,,
581,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2014/07/06 14:54:00,2015/07/26 9:36:59,6444,6442,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
601,,,order by pobject_code_view_src,,,2099/12/31,undefined,0,127.0.0.1,2014/07/11 0:11:00,2017/08/09 21:08:34,6581,6582,17517,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,pobject_code_view_src
621,,,order by pobject_code_tbl,undefined,,2099/12/31,undefined,0,127.0.0.1,2014/07/11 14:16:01,2017/08/09 21:08:03,6617,6618,17517,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,pobject_code_tbl
641,,,"order by pobject_code_view_src,pobject_code_tbl_dest,tblink_seqno",,,2000/12/31,undefined,0,127.0.0.1,2014/07/12 13:05:00,2017/08/09 21:08:41,6763,6764,17517,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,中止　rubycodingで考慮する。,"pobject_code_view_src,pobject_code_tbl_dest,tblink_seqno"
661,,,"order by pobject_code_view_src,pobject_code_tbl_dest,tblinkfld_seqno",undefined,,2099/12/31,undefined,0,127.0.0.1,2014/07/12 20:21:27,2017/08/09 21:08:56,6803,6804,17517,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,"pobject_code_view_src,pobject_code_tbl_dest,tblinkfld_seqno"
681,,"( alloctbl_qty_inout != 0 or alloctbl_qty_stk_inout != 0 ) and alloctbl_allocfree_inout in('alloc','free')",,,,2099/12/31,auto_crt,0,127.0.0.1,2014/07/15 20:28:00,2017/06/23 1:51:45,6978,6979,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
701,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/07/16 21:21:00,2015/07/26 9:36:59,6999,7000,17522,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
721,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/07/19 11:09:00,2015/07/26 9:36:59,7079,7080,17522,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,日曜大工的ERPの使用規則,
741,,,,undefined,,2001/01/01,auto_crt,0,127.0.0.1,2014/07/19 12:00:00,2017/06/25 21:29:28,8402,8403,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
761,,,,,,2099/12/31,,0,127.0.0.1,2014/07/26 7:33:00,2015/07/26 9:36:58,7137,7138,17500,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,製造指示予定,
762,,pursch_qty  != 0,,,,2099/12/31,undefined,0,127.0.0.1,2014/07/26 7:36:00,2015/11/03 0:37:37,7185,7186,17502,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,
801,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/08/06 21:08:00,2015/07/26 9:36:59,7381,7382,17517,0,50,"50,250,100,010,000",700,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
821,,,,,,2099/12/31,,0,127.0.0.1,2014/08/10 15:14:00,2015/07/26 9:36:57,7441,7442,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
841,,,order by pobject_code_tbl,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2014/09/14 13:27:00,2017/08/09 21:07:55,7804,7803,17488,0,50,"50,250,100,010,000",100,"top:100,left:50,width:1200,height:600,dataheight:500",0,各種基準日の日付,pobject_code_tbl
881,,,,undefined,,2099/12/31,auto,0,127.0.0.1,2014/09/24 20:52:39,2017/08/11 9:57:01,8001,8002,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,使用中止  ==> 2015/09 再利用,
901,,,,undefined,,2099/12/31,auto,0,127.0.0.1,2014/10/12 17:34:00,2015/08/02 18:09:28,9473,8002,17523,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
902,,,,undefined,,2099/12/31,auto,0,127.0.0.1,2014/10/12 17:35:00,2015/08/02 18:09:20,8262,8002,17523,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
921,,,,undefined,,2099/12/31,auto_crt,0,127.0.0.1,2014/10/24 17:30:00,2017/06/25 22:58:46,8441,8442,17511,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1400,height:700,dataheight:600",0,mkordに関しては追加のみ。修正削除はできない。,
941,,,"order by alloctbl_srctblname,allloc_srctblid",,,2099/12/31,undefined,0,127.0.0.1,2014/11/01 14:44:00,2017/08/09 21:07:09,8922,8921,17516,0,50,"50,250,100,010,000",100,"top:100,left:50,width:1200,height:600,dataheight:500",0,," alloctbl_srctblname,allloc_srctblid"
961,,,,,,2099/12/31,undefined,0,127.0.0.1,2014/11/24 13:01:00,2015/07/26 9:36:58,7142,7143,17500,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,製造指示予定,
981,,,,,,2001/01/01,auto_crt,0,127.0.0.1,2014/11/27 20:35:00,2017/06/25 21:29:35,9407,9406,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1400,height:600,dataheight:500",0,,
1001,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/11/30 16:44:00,2015/07/26 9:36:58,9440,9439,17502,0,50,"502,501,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1081,,,,,,2099/12/31,auto,0,127.0.0.1,2014/12/23 16:03:00,2015/08/02 18:09:55,9701,8002,17523,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1101,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2014/12/27 14:35:00,2015/07/26 9:36:58,9743,9742,17502,0,50,"502,501,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1121,,( lotstkhist_qty != 0 or  lotstkhist_qty_stk != 0 ),,,,2099/12/31,auto_crt,0,127.0.0.1,2014/12/28 11:32:00,2017/08/05 21:51:30,7182,7183,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1141,,,,,,2000/12/31,auto_crt,0,127.0.0.1,2015/01/02 23:11:44,2015/07/26 9:36:58,9943,9944,17502,0,50,"502,501,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,複数形　tbl.chop.capitalize.constantize,
1161,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/01/10 10:53:00,2015/07/26 9:36:58,10028,10027,17493,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1181,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/01/12 16:39:00,2015/08/02 18:09:38,10102,8002,17523,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1400,height:600,dataheight:500",0,,
1201,,,,,,2099/12/31,undefined,0,127.0.0.1,2015/02/17 20:32:00,2015/07/26 9:36:58,7140,7139,17500,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,製造指示予定,
1221,,,,,,2099/01/01,auto_crt,0,127.0.0.1,2015/02/27 21:08:00,2016/07/03 17:01:13,10653,10648,17497,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1241,,,,,,2099/12/31,undefined,0,127.0.0.1,2015/02/28 21:18:00,2015/07/26 9:36:58,10726,10725,17500,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,製造指示予想,
1242,,,,,,2099/12/31,undefined,0,127.0.0.1,2015/02/28 21:19:00,2015/07/26 9:36:58,10728,10727,17502,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500	 ",0,,
1243,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/02/28 21:20:00,2015/07/26 9:36:58,10730,10729,17505,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1244,,,,,,2001/01/01,auto_crt,0,127.0.0.1,2015/02/28 21:24:00,2017/06/25 21:29:42,10811,10810,17509,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1245,,,,,,2000/12/31,auto_crt,0,127.0.0.1,2015/02/28 22:27:11,2016/07/03 17:01:05,10841,10648,17497,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,editボタンはない。,
1261,,,,,,2099/12/31,undefined,0,127.0.0.1,2015/03/12 15:42:00,2015/08/02 18:09:46,10902,8002,17523,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1400,height:600,dataheight:500",0,,
1281,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/03/20 20:34:00,2015/07/26 9:36:58,10942,10941,17494,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1321,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/03/21 16:37:00,2015/07/26 9:36:59,11067,11066,17504,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1341,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/03/22 10:49:00,2015/07/26 9:36:59,11123,11122,17504,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1361,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/04/12 1:53:00,2015/07/26 9:36:58,11312,11311,17490,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1381,,,,,,2099/12/31,auto_crt,0,127.0.0.1,2015/04/12 18:19:00,2015/07/26 9:36:57,11414,11413,17488,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
1401,,,,,,2000/01/01,undefined,0,127.0.0.1,2015/05/10 16:26:00,2016/06/12 16:25:37,11901,11902,17511,0,50,"50,250,100,010,000",200,"top:100,left:50,width:1200,height:600,dataheight:500",0,,
